ahri_number,found,program_name,rating_condition,detail_url
206249117,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/206249117
211644151,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/211644151
212361362,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/212361362
207098550,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/207098550
10570123,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/10570123
212361759,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/212361759
206414273,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/206414273
212361366,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/212361366
212367433,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/212367433
205663358,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/205663358
205047852,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/205047852
207256441,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/207256441
8033586,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/8033586
207706559,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/207706559
207599994,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/207599994
206223052,no,,,
206249116,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/206249116
210722665,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/210722665
205123809,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/205123809
204717600,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/204717600
205663349,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/205663349
204825178,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/204825178
7091971,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/7091971
206597213,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/206597213
201851577,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/201851577
205047853,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/205047853
212633393,no,,,
8703508,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/8703508
207768730,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/207768730
201863352,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/201863352
212361760,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/212361760
205663354,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/205663354
206414274,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/206414274
207657396,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/207657396
207202288,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/207202288
212851768,no,,,
212361758,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/212361758
213153602,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/213153602
206903532,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/206903532
203025011,yes,ASHP AHRI Rating Conditions,4611,https://www.ahridirectory.org/details/99/203025011
